epoch,train_loss,train_acc,val_loss,val_acc
1,0.43745,0.7531,0.40804,0.8332
2,0.29006,0.842,0.24797,0.8829
3,0.2324,0.891,0.22497,0.9024
4,0.21105,0.9042,0.14015,0.9279
5,0.16925,0.9214,0.12291,0.9567
6,0.15462,0.931,0.1062,0.9581
7,0.12995,0.9484,0.08846,0.9659
8,0.12647,0.9473,0.09339,0.9503
9,0.14116,0.9398,0.11297,0.9606
10,0.1207,0.9515,0.07447,0.9698
11,0.12152,0.9491,0.09224,0.9606
12,0.09698,0.9621,0.09344,0.9645
13,0.12347,0.9478,0.07857,0.9475
14,0.10003,0.953,0.08201,0.9645
15,0.0918,0.9618,0.05414,0.983
16,0.07821,0.9666,0.07027,0.9606
17,0.07358,0.9688,0.05805,0.9737
18,0.08406,0.9636,0.05229,0.983
19,0.08593,0.962,0.05969,0.9659
20,0.07255,0.9689,0.04292,0.9815
21,0.07128,0.9686,0.04846,0.9869
22,0.07438,0.9677,0.04395,0.9844
23,0.07445,0.9686,0.05069,0.9751
24,0.0635,0.9719,0.0673,0.9776
25,0.05795,0.9767,0.03359,0.9883
26,0.0642,0.9699,0.04737,0.983
27,0.05539,0.9768,0.03731,0.9815
28,0.05376,0.9814,0.04865,0.9776
29,0.04782,0.9786,0.0322,0.9815
30,0.05222,0.9802,0.02764,0.9869
31,0.04714,0.9794,0.02855,0.9869
32,0.05542,0.9782,0.04544,0.9815
33,0.04433,0.9848,0.02791,0.9908
34,0.04963,0.9779,0.03266,0.9869
35,0.0405,0.9824,0.01735,0.9961
36,0.04425,0.9797,0.01757,0.9961
37,0.03871,0.987,0.02516,0.9908
38,0.0335,0.9875,0.0276,0.9908
39,0.04296,0.9828,0.02189,0.9908
40,0.04403,0.9828,0.02035,0.9908
